tag	p_adj_expr_tag	OR_adj_expr_tag	p_adj_expr_pos_tag	OR_adj_expr_pos_tag	p_adj_expr_neg_tag	OR_adj_expr_neg_tag	p_value_expr_tag	OR_value_expr_tag	p_value_expr_pos_tag	OR_value_expr_pos_tag	p_value_expr_neg_tag	OR_value_expr_neg_tag
EncodeLung_peak	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_DNase_tag	0.00298650205632782	1.51 (1.14-2)	2.62026147896954e-11	2.78 (2.05-3.77)	0.000468823356809015	0.54 (0.37-0.78)	0.00240521890722211	1.53 (1.15-2.03)	6.18485116342174e-11	2.69 (1.99-3.64)	0.00137241848161719	0.59 (0.41-0.83)
EncodeLung_ATAC_tag	0.00418730513165167	1.66 (1.16-2.38)	5.15133918510468e-05	2.17 (1.49-3.15)	0.476526296515453	0.84 (0.54-1.29)	0.00560989916535961	1.65 (1.15-2.37)	0.000249769925369622	2 (1.37-2.91)	0.626856355878371	0.9 (0.59-1.35)
EncodeLung_ATAC_Dnase_tag	0.00261282434785474	1.48 (1.14-1.92)	5.63993894746019e-10	2.45 (1.83-3.27)	0.00671750341267557	0.65 (0.46-0.89)	0.00269367914252009	1.47 (1.14-1.92)	2.82957752859071e-09	2.34 (1.75-3.11)	0.013956472471672	0.69 (0.5-0.93)
EncodeLung_H3K27ac_tag	0.55217182601334	1.1 (0.81-1.49)	0.0216177614017047	1.48 (1.05-2.07)	0.137062979922948	0.75 (0.51-1.08)	0.71087479581635	1.07 (0.79-1.44)	0.0461733725729147	1.4 (0.99-1.95)	0.153960238485234	0.77 (0.54-1.1)
EncodeLung_H3K4me3_tag	0.505324475836997	1.15 (0.78-1.7)	0.00308513956261632	1.87 (1.22-2.83)	0.0251983038851824	0.57 (0.32-0.95)	0.507198136886807	1.14 (0.77-1.69)	0.00764987455306469	1.73 (1.14-2.62)	0.0675436807426973	0.64 (0.39-1.04)
EncodeLung_H3K4me1_tag	0.664086927835019	1.06 (0.82-1.36)	0.0558061987739079	1.32 (0.98-1.76)	0.189070960457366	0.82 (0.6-1.1)	0.577320590914333	1.08 (0.84-1.39)	0.0509232099324793	1.32 (0.99-1.76)	0.234270500368601	0.84 (0.63-1.12)
EncodeLung_H3K9ac_tag	0.670323593017708	1.12 (0.72-1.73)	0.00351712024653545	1.96 (1.22-3.1)	0.0168307530183664	0.49 (0.24-0.89)	0.831952108018678	1.06 (0.69-1.65)	0.00899502145946668	1.82 (1.13-2.88)	0.0221229588401677	0.53 (0.28-0.93)
EncodeLung_H3K36me3_tag	0.950394627412476	0.99 (0.77-1.27)	0.160611179948685	1.23 (0.92-1.65)	0.124979495517213	0.79 (0.58-1.07)	0.495560538427237	0.92 (0.71-1.18)	0.191485082652044	1.21 (0.91-1.62)	0.0415187235061907	0.74 (0.55-0.99)
EncodeLung_H3K9me3_tag	0.332815860919467	1.22 (0.82-1.81)	0.168575817357862	1.35 (0.85-2.09)	0.909664374475324	0.96 (0.59-1.53)	0.562424360759025	1.13 (0.76-1.68)	0.309401222737904	1.25 (0.79-1.94)	0.827091645604089	0.94 (0.58-1.46)
EncodeLung_H3K27ac_clean_tag	0.795294978060394	0.95 (0.67-1.36)	0.303011029888659	1.24 (0.82-1.84)	0.18518614872999	0.74 (0.47-1.15)	1	1 (0.7-1.42)	0.364587116905629	1.19 (0.79-1.77)	0.433631168487629	0.84 (0.55-1.26)
EncodeLung_H3K4me3_clean_tag	1	1.01 (0.63-1.59)	0.0862459518124924	1.54 (0.92-2.52)	0.090101933159393	0.6 (0.31-1.08)	0.825155145953835	1.07 (0.68-1.7)	0.154306644696159	1.43 (0.86-2.34)	0.317193790111626	0.75 (0.42-1.28)
EncodeLung_H3K36me3_clean_tag	0.1402729923461	0.82 (0.62-1.07)	0.750047612768375	0.93 (0.67-1.29)	0.206733356378434	0.8 (0.57-1.12)	0.108050360284245	0.8 (0.61-1.05)	0.814416126910474	0.95 (0.69-1.3)	0.129683127867555	0.78 (0.57-1.07)
EncodeLung_H3K9me3_clean_tag	0.914858372003515	1.04 (0.67-1.62)	0.899631152614063	0.95 (0.55-1.6)	0.705977245659387	1.11 (0.65-1.82)	1	0.99 (0.64-1.54)	0.708929009993749	0.89 (0.51-1.49)	0.71705204968999	1.11 (0.67-1.79)
EncodeLung_CTCF_tag	0.00200575005139168	3.72 (1.52-10.41)	1.16144438315603e-07	7.95 (3.41-20.07)	0.0428488833165091	0.24 (0.03-0.95)	0.00212019803851777	3.83 (1.5-11.58)	2.92801095279746e-07	7.41 (3.18-18.69)	0.0537902364455829	0.31 (0.06-1.03)
EncodeLung_EP300_tag	0.335437040337115	1.66 (0.57-5.17)	0.0823980634406516	2.39 (0.76-7.03)	0.775393733580378	0.69 (0.13-2.51)	0.329736067830133	1.8 (0.6-5.96)	0.147284406062783	2.23 (0.71-6.56)	1	0.85 (0.2-2.77)
